name	Mouse_Array_Rxns_Index	Mouse_Array_Rxns_Secondary	Rat_Array_Rxns_Index	Rat_Array_Rxns_Secondary	Rat_Seq_Rxns_Index	Rat_Seq_Rxns_Secondary
'2M3HBUc'	0	0	0	0	0	1
'2M3HBUte'	0	0	0	0	0	1
'2M3HBUtm'	0	0	0	0	0	1
'2M3HVACc'	0	0	0	0	0	1
'2M3HVACte'	0	0	0	0	0	1
'2M3OVACm'	0	0	0	0	0	1
'2M3OVACtm'	0	0	0	0	0	1
'2M3OVCOAm'	0	0	0	0	0	1
'3AIB_Dtm'	0	0	0	0	0	1
'3AIBTm'	0	0	0	0	0	1
'3AIBtmi'	0	0	0	0	0	1
'3DSPHR'	0	0	0	1	0	0
'3H3MGLTc'	0	0	0	0	0	1
'3H3MGLTte'	0	0	0	0	0	1
'3HPPt'	0	0	0	1	0	0
'3HPPtm'	0	0	0	1	0	0
'3M4HDXPAC_b'	0	0	1	0	0	0
'3M4HDXPAC_f'	0	0	1	0	0	0
'3MGLUTACc'	0	0	0	0	0	1
'3MGLUTACte'	0	0	0	0	0	1
'3MGLUTACtm'	0	0	0	0	0	1
'3MOX4HOXPGALDOX_NADP__b'	0	0	1	0	0	0
'3MOX4HOXPGALDOX_NADP__f'	0	0	1	0	0	0
'3MOX4HOXPGALDOX'	0	0	1	0	0	0
'3SALACBOXL'	0	0	0	0	1	0
'3SALATAi'	0	0	0	0	0	1
'3SALATAim'	0	0	0	0	0	1
'3SPYRSP'	0	0	0	0	0	1
'3SPYRSPm'	0	0	0	0	0	1
'4AABUTNt'	0	0	0	0	0	1
'4ABUTtm'	0	0	0	0	0	1
'4HOXPACDOX_NADP__b'	0	0	1	0	0	0
'4HOXPACDOX_NADP__f'	0	0	1	0	0	0
'5EIPENCm'	0	0	0	1	0	0
'5EIPENCte'	0	0	0	1	0	0
'5EIPENCtm'	0	0	0	1	0	0
'5MTHFt'	0	0	0	0	1	0
'6THFtm'	0	0	0	0	0	1
'ABTArm'	0	0	0	0	0	1
'ABUTt2rL'	0	0	0	1	0	0
'ACACT10m'	0	0	0	0	0	1
'ACACT4p'	0	0	0	1	0	1
'ACACT5p'	0	0	0	1	0	1
'ACACT6p'	0	0	0	1	0	1
'ACACT7p'	0	0	0	1	0	1
'ACACT8p'	0	0	0	1	0	0
'ACALDt'	0	0	0	1	0	0
'ACALDtm'	0	0	0	1	0	0
'ACETONEt2'	0	0	0	0	0	1
'ACETONEt2m'	0	0	0	0	0	1
'ACGALK'	0	0	0	1	0	0
'ACGALtly'	0	0	0	1	0	0
'ACGAM2E'	0	0	0	1	0	0
'ACGAM6PSi'	0	0	0	1	0	0
'ACGAMPM'	0	0	0	1	0	0
'ACNAMlt'	0	0	0	1	0	0
'ACNAMtr'	0	0	0	1	0	0
'ACNMLr'	0	0	0	1	0	0
'ACOAD10m'	0	0	1	0	1	0
'ACOAD1fm'	0	0	1	0	0	0
'ACOAD9m'	0	0	1	0	0	0
'ACOAO7p'	0	0	0	1	0	1
'ACONT'	0	0	1	0	0	0
'ADCim'	0	0	0	0	0	1
'ADNCYC'	0	0	1	0	0	1
'ADRNt'	0	0	0	1	0	0
'ADSL1'	0	0	1	0	0	0
'ADSL2'	0	0	1	0	0	0
'ADSS'	0	0	0	1	0	0
'AG13T16g'	0	0	0	1	0	0
'AG13T17g'	0	0	0	1	0	0
'AG13T18g'	0	0	0	1	0	0
'AG13T1g'	0	0	0	1	0	0
'AG13T2g'	0	0	0	1	0	0
'AG13T3g'	0	0	0	1	0	0
'AGTim'	0	0	0	0	0	1
'AGTix'	0	0	0	0	0	1
'AHC'	0	0	1	0	0	0
'AIRCr'	0	0	0	1	0	0
'AKGDm'	0	0	0	0	0	1
'ALAt4'	1	0	0	0	0	0
'ALCD1'	0	0	0	1	0	0
'ALDD20xm'	0	0	0	0	1	0
'ALDD2x'	0	0	1	0	0	0
'ALDD2xm'	0	0	0	1	1	0
'ALDD2y'	0	0	0	1	0	0
'AMPDA'	0	0	0	1	0	0
'AMPTASECG'	0	0	1	0	0	0
'APAT2rm'	0	0	0	1	0	0
'APRTO2'	0	0	0	0	0	1
'ARACHCOAtx'	0	0	0	0	0	1
'ARGtD_b'	1	0	0	0	0	0
'ARGtD_f'	1	0	0	0	0	0
'ARSA'	0	0	0	1	0	1
'ARTFR208'	0	0	0	1	0	0
'ASPDt6'	0	0	0	0	1	0
'ASPt6'	0	0	0	0	1	0
'ATP2ter'	0	0	0	1	0	0
'ATPH1e'	0	0	0	0	0	1
'B3GALT41g'	0	0	1	0	0	0
'B3GALT42g'	0	0	1	0	0	0
'B3GALT43g'	0	0	1	0	0	0
'B3GALT44g'	0	0	1	0	0	0
'BALAtmr'	0	0	0	1	0	0
'BDHm'	0	0	0	0	0	1
'BGAL1e'	0	0	0	1	0	0
'BGAL1l'	0	0	0	1	0	0
'BGAL3l'	0	0	0	1	0	0
'BHBtm'	0	0	0	0	0	1
'BILIRUBt2'	0	0	0	1	0	0
'BILIVERDt'	0	0	0	0	0	1
'BPNT'	0	0	0	1	0	1
'C03990t'	0	0	0	1	0	0
'C04805td'	0	0	0	0	0	1
'C14768td'	0	0	0	1	0	1
'C14769td1'	0	0	0	1	0	1
'C14770ATP'	0	0	0	1	0	1
'C14771ATP'	0	0	0	1	0	1
'C14STRr'	0	0	0	0	0	1
'C160CPT2'	0	0	0	1	0	0
'C161CPT12'	0	0	0	1	0	1
'C161CPT22'	0	0	0	1	0	0
'C180CPT2'	0	0	0	1	0	0
'C204CPT1'	0	0	0	1	0	0
'C204CPT2'	0	0	0	1	0	0
'C226CPT1'	0	0	0	1	0	0
'C226CPT2'	0	0	0	1	0	0
'C3STDH1Pr'	0	0	0	0	0	1
'C3STDH1r'	0	0	0	0	0	1
'C3STKR2r'	0	0	0	0	0	1
'C4STMO1r'	0	0	0	0	0	1
'C4STMO2Pr'	0	0	0	0	0	1
'C4STMO2r'	0	0	0	0	0	1
'C80CPT1'	0	0	0	1	0	0
'CAPROICc'	0	0	0	1	0	0
'CARNtr'	0	0	0	1	0	0
'CAt7r_b'	0	0	0	0	1	0
'CAt7r_f'	0	0	0	0	1	0
'CATm'	0	0	0	1	0	1
'CATp'	0	0	0	1	0	1
'CE2049te'	0	0	0	1	0	1
'CE2445t'	0	0	0	0	0	1
'CE2510ABCt'	0	0	1	0	0	0
'CE2513td'	0	0	0	1	0	0
'CE2537ABCt'	0	0	1	0	0	0
'CE4877te'	0	0	0	1	0	0
'CE5304t'	0	0	0	1	0	0
'CE6247t'	0	0	0	0	0	1
'CE7081tr'	0	0	0	1	0	0
'CE7082ATP'	0	0	0	1	0	0
'CE7090te'	0	0	0	1	0	0
'CERT1rt'	0	0	0	1	0	0
'CHOLATEt_b'	0	0	1	0	0	0
'CHOLATEt_f'	0	0	1	0	0	0
'CHOLt4_b'	0	0	0	0	1	0
'CHOLt4_f'	0	0	0	0	1	0
'CHOLtu'	0	0	0	0	0	1
'CITt4_2_s'	0	0	0	0	0	1
'CITt4_4_b'	0	0	1	0	0	0
'CITt4_4_f'	0	0	1	0	0	0
'CLOXAtex2'	0	0	0	0	0	1
'CLPNDCPT1'	0	0	0	1	0	0
'CLPNDCPT2'	0	0	0	1	0	0
'CMPACNAtg'	0	0	0	1	0	0
'CO2ter'	0	0	0	0	0	1
'CORE2GTg'	0	0	0	1	0	0
'CORE3GTg'	0	0	0	1	0	0
'CORE4GTg'	0	0	0	1	0	0
'COt'	0	0	0	0	0	1
'CPPPGO'	0	0	0	0	0	1
'CRVNCtr'	0	0	0	1	0	0
'CRVSM1hr'	0	0	1	0	0	0
'CRVSM23hr'	0	0	1	0	0	0
'CYOOm2i'	0	0	0	0	0	1
'CYSO'	0	0	0	0	0	1
'CYSTA'	0	0	0	0	0	1
'D_3AIBt'	0	0	0	0	0	1
'D_LACtm'	0	0	0	1	0	0
'DAGK_hs'	0	0	1	0	1	0
'DCATDc_b'	0	0	1	0	0	0
'DCATDc_f'	0	0	1	0	0	0
'DCIm'	0	0	0	1	0	0
'DCSPTN1COAtx'	0	0	0	1	0	0
'DCSPTN1CPT1'	0	0	0	1	0	0
'DCSPTN1CPT2'	0	0	0	1	0	0
'DESAT14_9'	0	0	0	1	0	1
'DESAT16_2'	0	0	0	1	0	1
'DESAT18_10'	0	0	0	1	0	0
'DESAT18_4'	0	0	0	1	0	0
'DESAT18_5'	0	0	0	1	0	1
'DESAT18_6'	0	0	0	1	0	1
'DESAT18_7'	0	0	0	1	0	1
'DESAT18_8'	0	0	0	1	0	0
'DESAT18_9'	0	0	0	1	0	0
'DESAT20_1'	0	0	0	0	0	1
'DESAT20_2'	0	0	0	1	0	0
'DHCR243r'	0	0	0	0	0	1
'DHCR71r'	0	0	0	0	0	1
'DHEASt_b'	0	0	1	0	0	0
'DHEASt_f'	0	0	1	0	0	0
'DIGALSIDEtg'	0	0	0	1	0	0
'DIGALSIDEtl'	0	0	0	1	0	0
'DLNLCGCPT2'	0	0	0	1	0	0
'DM_mi14p[c]'	0	0	0	0	0	1
'DMATT'	0	0	0	0	0	1
'DOCO13EFATP'	0	0	1	0	0	0
'DOCOSACTDr'	0	0	0	1	0	0
'DPMVDc'	0	0	0	0	0	1
'DPMVDx'	0	0	0	0	0	1
'DURIK1'	1	0	0	0	0	0
'EBP1r'	0	0	0	0	0	1
'ECOAH1m'	0	0	0	1	0	0
'ECOAH1x'	0	0	0	1	0	1
'EIC21114TRc'	0	0	0	1	0	0
'EIC21114TRte'	0	0	0	1	0	0
'EICOSTETCPT1'	0	0	0	0	0	1
'EICOSTETCPT2'	0	0	0	0	0	1
'ELAIDCPT1'	0	0	0	1	0	0
'ELAIDCPT2'	0	0	0	1	0	0
'ELAIDt_b'	0	0	1	0	0	0
'ELAIDt_f'	0	0	1	0	0	0
'ESTRONESt_b'	0	0	1	0	0	0
'ESTRONESt_f'	0	0	1	0	0	0
'EX_2m3hbu[e]'	0	0	0	0	0	1
'EX_2m3hvac[e]'	0	0	0	0	0	1
'EX_3aib_D[e]'	0	0	0	0	0	1
'EX_3aib[e]'	0	0	0	0	0	1
'EX_3h3mglt[e]'	0	0	0	0	0	1
'EX_3hpp[e]'	0	0	0	1	0	0
'EX_3mglutac[e]'	0	0	0	0	0	1
'EX_4aabutn[e]'	0	0	0	0	0	1
'EX_5eipenc[e]'	0	0	0	1	0	0
'EX_ac[e]'	0	0	0	0	0	1
'EX_acac[e]'	0	0	0	0	0	1
'EX_acald[e]'	0	0	0	1	0	0
'EX_acetone[e]'	0	0	0	0	0	1
'EX_acnam[e]'	0	0	0	1	0	0
'EX_adrn[e]'	0	0	0	1	0	0
'EX_ala_B[e]'	0	0	0	1	0	0
'EX_arach[e]'	0	0	0	1	0	0
'EX_arachd[e]'	0	0	0	1	0	0
'EX_bhb[e]'	0	0	0	0	0	1
'EX_biliverd[e]'	0	0	0	0	0	1
'EX_C04805[e]'	0	0	0	0	0	1
'EX_C14768[e]'	0	0	0	1	0	1
'EX_C14769[e]'	0	0	0	1	0	1
'EX_C14770[e]'	0	0	0	1	0	1
'EX_C14771[e]'	0	0	0	1	0	1
'EX_caproic[e]'	0	0	0	1	0	0
'EX_carn[e]'	0	0	0	1	0	0
'EX_CE2049[e]'	0	0	0	1	0	1
'EX_CE2445[e]'	0	0	0	0	0	1
'EX_CE4877[e]'	0	0	0	1	0	0
'EX_CE5304[e]'	0	0	0	1	0	0
'EX_CE6247[e]'	0	0	0	0	0	1
'EX_CE7082[e]'	0	0	0	1	0	0
'EX_CE7090[e]'	0	0	0	1	0	0
'EX_chol[e]'	0	0	0	0	0	1
'EX_cit[e]'	0	0	0	1	0	0
'EX_cit[s]'	0	0	0	0	0	1
'EX_clpnd[e]'	0	0	0	1	0	0
'EX_co[e]'	0	0	0	0	0	1
'EX_dcsptn1[e]'	0	0	0	1	0	0
'EX_dlnlcg[e]'	0	0	0	1	0	1
'EX_doco13ac[e]'	0	0	0	1	0	0
'EX_eic21114tr[e]'	0	0	0	1	0	0
'EX_eicostet[e]'	0	0	0	1	0	0
'EX_elaid[e]'	0	0	0	1	0	0
'EX_glcn[e]'	0	0	0	1	0	0
'EX_glu_L[e]'	0	0	0	1	0	1
'EX_glyc_R[e]'	0	0	0	0	0	1
'EX_glyclt[e]'	0	0	0	0	0	1
'EX_h2o2[e]'	0	0	0	0	0	1
'EX_HC02180[e]'	0	0	0	1	0	0
'EX_HC02187[e]'	0	0	0	1	0	0
'EX_HC02192[e]'	0	0	0	1	0	0
'EX_HC02193[e]'	0	0	0	1	0	0
'EX_HC02197[e]'	0	0	0	1	0	0
'EX_HC02198[e]'	0	0	0	1	0	0
'EX_HC02202[e]'	0	0	0	1	0	1
'EX_HC02203[e]'	0	0	0	1	0	0
'EX_HC02204[e]'	0	0	0	1	0	1
'EX_HC02205[e]'	0	0	0	1	0	0
'EX_HC02207[e]'	0	0	0	1	0	0
'EX_HC02213[e]'	0	0	0	1	0	1
'EX_hdca[e]'	0	0	0	1	0	0
'EX_hdcea[e]'	0	0	0	1	0	1
'EX_hexdtr[e]'	0	0	0	1	0	0
'EX_hpdca[e]'	0	0	0	1	0	0
'EX_hpdece[e]'	0	0	0	1	0	0
'EX_hxa[e]'	0	0	0	1	0	0
'EX_i[e]'	0	0	0	1	0	1
'EX_inost[e]'	0	0	0	0	0	1
'EX_lneldc[e]'	0	0	0	1	0	0
'EX_lnlc[e]'	0	0	0	1	0	0
'EX_lnlnca[e]'	0	0	0	1	0	0
'EX_lthstrl[e]'	0	0	0	0	0	1
'EX_M00117[e]'	0	0	0	1	0	1
'EX_M01197[e]'	0	0	0	1	0	0
'EX_M02053[e]'	0	0	0	1	0	0
'EX_M02613[e]'	0	0	0	1	0	0
'EX_M02745[e]'	0	0	0	1	0	0
'EX_mev_R[e]'	0	0	0	0	0	1
'EX_ocdca[e]'	0	0	0	1	0	0
'EX_ocdcea[e]'	0	0	0	1	0	0
'EX_oxa[e]'	0	0	0	0	0	1
'EX_pailar_hs[e]'	0	0	0	0	0	1
'EX_pailpalm_hs[e]'	0	0	0	0	0	1
'EX_ppa[e]'	0	0	0	0	0	1
'EX_ppiogly[e]'	0	0	0	0	0	1
'EX_prostgd2[e]'	0	0	0	1	0	0
'EX_prostge1[e]'	0	0	0	1	0	1
'EX_prostge2[e]'	0	0	0	1	0	0
'EX_prostgh2[e]'	0	0	0	1	0	0
'EX_ptdca[e]'	0	0	0	1	0	0
'EX_sfcys[e]'	0	0	0	0	0	1
'EX_so3[e]'	0	0	0	0	0	1
'EX_so4[e]'	0	0	0	1	0	1
'EX_sphgn[e]'	0	0	0	1	0	0
'EX_strdnc[e]'	0	0	0	1	0	0
'EX_taur[e]'	0	0	0	0	0	1
'EX_tdchola[e]'	0	0	0	1	0	0
'EX_thexdd[e]'	0	0	0	1	0	0
'EX_thyox_L[e]'	0	0	0	1	0	1
'EX_tmndnc[e]'	0	0	0	1	0	0
'EX_triodthy[e]'	0	0	0	1	0	0
'EX_tsul[e]'	0	0	0	0	0	1
'EX_ttdca[e]'	0	0	0	1	0	0
'EX_ttdcea[e]'	0	0	0	1	0	0
'EX_txa2[e]'	0	0	0	1	0	0
'EX_vacc[e]'	0	0	0	1	0	0
'EX_xolest_hs[e]'	0	0	0	1	0	0
'FADH2tru'	0	0	0	0	0	1
'FADtru'	0	0	0	0	0	1
'FAOXC101C102m'	0	0	1	0	0	0
'FAOXC101C102x'	0	0	0	1	0	1
'FAOXC101x'	0	0	0	1	0	1
'FAOXC102C101m'	0	0	0	1	0	0
'FAOXC102C103m'	0	0	1	0	0	0
'FAOXC102C103x'	0	0	0	1	0	1
'FAOXC102C81m'	0	0	0	1	0	0
'FAOXC102C81x'	0	0	0	1	0	1
'FAOXC102m'	0	0	0	1	0	0
'FAOXC102x'	0	0	0	1	0	1
'FAOXC103C102m'	0	0	0	1	0	0
'FAOXC103C102x'	0	0	0	1	0	1
'FAOXC10C10OHm'	0	0	0	1	0	0
'FAOXC10C8x'	0	0	0	1	0	1
'FAOXC11'	0	0	1	0	0	0
'FAOXC11C9m'	0	0	0	1	0	0
'FAOXC121C101m'	0	0	0	1	0	1
'FAOXC122x'	0	0	0	1	0	0
'FAOXC123C102m'	0	0	0	1	0	0
'FAOXC123C102x'	0	0	0	1	0	1
'FAOXC123m'	0	0	0	1	0	0
'FAOXC123x'	0	0	0	1	0	1
'FAOXC12C10m'	0	0	0	1	0	0
'FAOXC12C12OHm'	0	0	0	1	0	0
'FAOXC13C11m'	0	0	0	1	0	0
'FAOXC140'	0	0	1	0	1	0
'FAOXC141C121m'	0	0	0	1	0	1
'FAOXC142C122x'	0	0	0	1	0	0
'FAOXC143C123m'	0	0	0	1	0	0
'FAOXC143C123x'	0	0	0	1	0	1
'FAOXC14C12m'	0	0	0	1	0	0
'FAOXC14C14OHm'	0	0	0	1	0	0
'FAOXC150m'	0	0	1	0	1	0
'FAOXC15C13m'	0	0	0	1	0	0
'FAOXC160'	0	0	1	0	1	0
'FAOXC16080m'	0	0	1	0	1	0
'FAOXC161802m'	0	0	1	0	1	0
'FAOXC16180m'	0	0	1	0	1	0
'FAOXC161C141m'	0	0	0	1	0	1
'FAOXC163C142x'	0	0	0	1	0	0
'FAOXC163C143m'	0	0	0	1	0	0
'FAOXC163C164Gm'	0	0	0	1	0	0
'FAOXC163C164x'	0	0	0	1	0	0
'FAOXC163GC142m'	0	0	0	1	0	0
'FAOXC163Gm'	0	0	0	1	0	0
'FAOXC163x'	0	0	0	1	0	0
'FAOXC164C143m'	0	0	0	1	0	0
'FAOXC164C143x'	0	0	0	1	0	1
'FAOXC164C163x'	0	0	0	1	0	0
'FAOXC164C165m'	0	0	0	1	0	0
'FAOXC164C165x'	0	0	0	1	0	1
'FAOXC164GC163m'	0	0	0	1	0	0
'FAOXC164m'	0	0	0	1	0	0
'FAOXC164x'	0	0	0	1	0	1
'FAOXC165C164m'	0	0	0	1	0	0
'FAOXC165C164x'	0	0	0	1	0	1
'FAOXC16BRx'	0	0	1	0	0	0
'FAOXC16C14m'	0	0	0	1	0	0
'FAOXC170m'	0	0	1	0	0	0
'FAOXC17C15m'	0	0	0	1	0	0
'FAOXC180'	0	0	1	0	1	0
'FAOXC1811601m'	0	0	1	0	1	0
'FAOXC1811602m'	0	0	1	0	1	0
'FAOXC1811603m'	0	0	1	0	1	0
'FAOXC181C161m'	0	0	0	1	0	0
'FAOXC182806m'	0	0	1	0	1	0
'FAOXC18280m'	0	0	1	0	1	0
'FAOXC183803m'	0	0	1	0	1	0
'FAOXC183806m'	0	0	1	0	1	0
'FAOXC183C163Gm'	0	0	0	1	0	0
'FAOXC183C163m'	0	0	0	1	0	0
'FAOXC18480m'	0	0	1	0	1	0
'FAOXC184C163m'	0	0	0	1	0	0
'FAOXC184C163x'	0	0	0	1	0	0
'FAOXC184C164m'	0	0	0	1	0	0
'FAOXC184C164x'	0	0	0	1	0	1
'FAOXC184m'	0	0	0	1	0	0
'FAOXC184x'	0	0	0	1	0	0
'FAOXC185C164m'	0	0	0	1	0	0
'FAOXC185m'	0	0	0	1	0	0
'FAOXC200180m'	0	0	1	0	1	0
'FAOXC200180x'	0	0	0	0	0	1
'FAOXC2031836m'	0	0	1	0	1	0
'FAOXC204'	0	0	1	0	1	0
'FAOXC204184m'	0	0	1	0	1	0
'FAOXC204C184m'	0	0	0	1	0	0
'FAOXC204C205x'	0	0	0	1	0	0
'FAOXC2051843m'	0	0	1	0	1	0
'FAOXC2051843x'	0	0	0	1	0	1
'FAOXC205C184x'	0	0	0	1	0	0
'FAOXC205C185m'	0	0	0	1	0	0
'FAOXC2242046m'	0	0	1	0	1	0
'FAOXC2251836m'	0	0	1	0	1	0
'FAOXC2251836x'	0	0	0	1	0	0
'FAOXC2252053m'	0	0	1	0	1	0
'FAOXC225C204m'	0	0	0	1	0	0
'FAOXC225C204x'	0	0	0	1	0	0
'FAOXC225C226m'	0	0	0	1	0	0
'FAOXC225C226x'	0	0	0	1	0	0
'FAOXC225m'	0	0	0	1	0	0
'FAOXC225x'	0	0	0	1	0	0
'FAOXC226'	0	0	1	0	1	0
'FAOXC226205m'	0	0	1	0	1	0
'FAOXC226C205m'	0	0	0	1	0	0
'FAOXC226C225m'	0	0	0	1	0	0
'FAOXC226C225x'	0	0	0	1	0	0
'FAOXC226C227m'	0	0	0	1	0	0
'FAOXC226m'	0	0	0	1	0	0
'FAOXC227C226m'	0	0	0	1	0	0
'FAOXC5C3x'	0	0	0	1	0	0
'FAOXC61C4m'	0	0	0	1	0	0
'FAOXC61m'	0	0	0	1	0	0
'FAOXC61x'	0	0	0	1	0	1
'FAOXC7C5m'	0	0	0	1	0	0
'FAOXC80'	0	0	1	0	1	0
'FAOXC81C61m'	0	0	0	1	0	0
'FAOXC81C61x'	0	0	0	1	0	1
'FAOXC9C7m'	0	0	0	1	0	0
'FAOXTC101TC102m'	0	0	1	0	0	0
'FAOXTC102C101m'	0	0	0	1	0	0
'FAOXTC122m'	0	0	0	1	0	0
'FAOXTC122TC101m'	0	0	0	1	0	0
'FAOXTC142TC122m'	0	0	0	1	0	0
'FAOXTC162TC142m'	0	0	0	1	0	0
'FAOXTC182TC162m'	0	0	0	1	0	0
'FATP6t_b'	0	0	1	0	0	0
'FATP6t_f'	0	0	1	0	0	0
'FATP7t_b'	0	0	1	0	0	0
'FATP7t_f'	0	0	1	0	0	0
'FATP8t_b'	0	0	1	0	0	0
'FATP8t_f'	0	0	1	0	0	0
'FATP9t_b'	0	0	1	0	0	0
'FATP9t_f'	0	0	1	0	0	0
'FBA'	0	0	0	0	0	1
'FBA2'	0	0	0	0	0	1
'FCLTm'	0	0	0	0	0	1
'FOAXC122C101x'	0	0	0	1	0	0
'FOLOAT2tc_b'	0	0	1	0	0	0
'FOLOAT2tc_f'	0	0	1	0	0	0
'FOLOATPtc_b'	0	0	1	0	0	0
'FOLOATPtc_f'	0	0	1	0	0	0
'FORtr'	0	0	0	0	0	1
'FPGS2m'	0	0	0	0	0	1
'FPGS3'	0	0	0	0	0	1
'FPGSm'	0	0	0	0	0	1
'FTHFDH'	0	0	0	0	0	1
'G14T18g'	0	0	0	1	0	0
'G14T19g'	0	0	0	1	0	0
'G14T20g'	0	0	0	1	0	0
'G14T21g'	0	0	0	1	0	0
'G14T2g'	0	0	0	1	0	0
'G14T3g'	0	0	0	1	0	0
'G14T4g'	0	0	0	1	0	0
'G14T5g'	0	0	0	1	0	0
'G6PDH1rer_b'	0	0	1	0	0	0
'G6PDH1rer_f'	0	0	1	0	0	0
'G6PDH2rer_b'	0	0	1	0	0	0
'G6PDH2rer_f'	0	0	1	0	0	0
'G6Pter'	0	0	0	1	0	0
'GAL3ST11'	0	0	0	1	0	1
'GALASE16ly'	0	0	0	1	0	0
'GALASE17ly'	0	0	0	1	0	0
'GALASE18ly'	0	0	0	1	0	0
'GALASE19ly'	0	0	0	1	0	0
'GALASE20ly'	0	0	0	1	0	0
'GALGLUSIDEtg'	0	0	0	1	0	0
'GALGLUSIDEtl'	0	0	0	1	0	0
'GALGT1'	0	0	1	0	0	0
'GALGT2'	0	0	1	0	0	0
'GALGT3'	0	0	1	0	0	0
'GALGT4'	0	0	1	0	0	0
'GALNTg'	0	0	0	1	1	0
'GALt1r_b'	0	0	0	0	1	0
'GALt1r_f'	0	0	0	0	1	0
'GAPD'	0	0	0	0	0	1
