name	Ctrl_vs_BD	Ctrl_vs_BD_NR	Ctrl_vs_BD_R	Ctrl_vs_Primary_Unchanged
SPHMYLN18123_hs_SECt	1	0	1	0
SPHMYLN1824_hs_SECt	1	0	1	0
SPHMYLN1825_hs_SECt	1	0	1	0
SPHMYLNtg	1	0	1	0
SQLEr	1	0	0	0
STRDNCCPT1	1	1	0	1
SUCCCROT	1	1	0	0
SUCCtp	1	1	0	0
TALA	1	1	1	0
TDCHOLAte	1	1	0	0
THYMDt1	1	0	0	1
TKT1	1	1	0	0
TKT2	1	1	0	0
TMNDNCCPT1	1	1	1	1
TPI	1	1	0	0
TRDR	1	1	0	0
TSULt4_3	1	0	0	1
TTDCEAt	1	0	1	1
TXA2tr	1	0	1	0
TYRASE	1	1	1	0
UDPGALt2r	1	1	1	0
UGCG	1	1	1	0
UGT1A10r	1	1	1	1
URIDK3	1	1	0	1
UROLACer	1	1	0	0
XOLESTte	1	0	0	1
12PPDRte	0	1	1	0
13DAMPPOX	0	1	1	1
13DAMPPte	0	1	1	1
15KPROSTGF2c	0	1	1	0
3DSPHR	0	1	1	0
3MOX4HOXPGALDOX	0	0	1	1
5AOPt	0	1	1	1
5MTAte	0	1	1	1
ABT_Dt2	0	0	1	1
ABUTD	0	1	1	1
ADRNCOAtx	0	0	1	1
ADSL2	0	1	1	1
AHCYSte	0	0	1	1
AHCYStr	0	0	1	0
AICARte	0	0	1	0
AIRCr	0	1	1	1
ALCD1	0	1	1	1
ALCD21_L	0	1	1	0
ALR2	0	1	1	0
ALR3	0	1	1	0
AMETAMte	0	1	1	1
AMETr	0	0	1	0
AMETt	0	0	1	1
APAT2rm	0	0	1	1
ARACHDCOAtx	0	0	1	0
ASAH1	0	0	1	0
BALAtmr	0	0	1	1
BAMPPALDOX	0	1	1	1
BILIVERDt	0	1	1	0
BTNt2	0	1	1	1
C04483t2	0	0	1	0
C161CPT2	0	0	1	1
C4tcx	0	0	1	0
C4x	0	0	1	0
CDSm	0	1	1	1
CHOLPtr	0	1	1	1
CHOLtu	0	0	1	0
CMPACNAtn	0	1	1	1
CMPSASn	0	1	1	1
COt	0	1	1	0
CPPPGO	0	1	1	0
CTPtn	0	1	1	1
CYTK1m	0	1	1	1
D_LACtm	0	1	1	0
DADNt4	0	0	1	0
DCK1m	0	0	1	0
DCMPtm	0	0	1	0
DCSPTN1COAtx	0	0	1	1
DCSPTN1CPT1	0	0	1	1
DCSPTN1CPT2	0	0	1	1
DESAT18_10	0	1	1	1
DMNONCOACRNCPT1	0	1	1	0
ETHAMPtr	0	1	1	1
ETHAt	0	1	1	1
EX_12ppd_R[e]	0	1	1	0
EX_13dampp[e]	0	1	1	1
EX_4abutn[e]	0	1	1	1
EX_5aop[e]	0	1	1	1
EX_5mta[e]	0	1	1	1
EX_ade[e]	0	0	1	0
EX_adn[e]	0	0	1	0
EX_aicar[e]	0	0	1	0
EX_ala_B[e]	0	0	1	1
EX_ametam[e]	0	1	1	1
EX_amp[e]	0	0	1	0
EX_biliverd[e]	0	1	1	0
EX_btn[e]	0	1	1	0
EX_chol[e]	0	0	1	0
EX_cholp[e]	0	1	1	1
EX_co[e]	0	1	1	0
EX_dad_2[e]	0	0	1	0
EX_dcsptn1[e]	0	0	1	1
EX_dgsn[e]	0	0	1	0
EX_dhap[e]	0	1	1	0
EX_din[e]	0	0	1	0
EX_etha[e]	0	1	1	1
EX_ethamp[e]	0	1	1	1
EX_fald[e]	0	1	1	1
EX_for[e]	0	1	1	1
EX_gal[e]	0	1	1	1
EX_galt[e]	0	1	1	1
EX_gchola[e]	0	0	1	0
EX_gsn[e]	0	0	1	0
EX_gua[e]	0	0	1	0
EX_hexdtr[e]	0	1	1	1
EX_hxan[e]	0	0	1	0
EX_imp[e]	0	0	1	0
EX_ins[e]	0	0	1	0
EX_k[e]	0	0	1	0
EX_lnlnca[e]	0	1	1	1
EX_M00010[e]	0	1	1	0
EX_mlthf[e]	0	0	1	1
EX_n8aspmd[e]	0	1	1	1
EX_nicrnt[e]	0	1	1	1
EX_o2s[e]	0	0	1	0
EX_ppbng[e]	0	1	1	1
EX_ribflv[e]	0	1	1	1
EX_Rtotal[e]	0	0	1	0
EX_sphgn[e]	0	1	1	0
EX_sphings[e]	0	0	1	0
EX_spmd[e]	0	1	1	1
EX_thcholstoic[e]	0	0	1	0
EX_xan[e]	0	0	1	0
EX_xmp[e]	0	0	1	0
EX_xtsn[e]	0	0	1	0
FAOXC122x	0	0	1	1
FAOXC142C122x	0	0	1	1
FAOXC16080m	0	0	1	0
FAOXC161802m	0	1	1	0
FAOXC163C142x	0	0	1	1
FAOXC163C143m	0	1	1	1
FAOXC163C164x	0	0	1	1
FAOXC163x	0	0	1	1
FAOXC164C163x	0	0	1	1
FAOXC16C14m	0	1	1	0
FAOXC183803m	0	1	1	1
FAOXC183C163m	0	1	1	1
FAOXC184C163m	0	0	1	1
FAOXC184C163x	0	0	1	1
FAOXC184m	0	0	1	1
FAOXC184x	0	0	1	1
FAOXC204C184m	0	0	1	1
FAOXC204C205x	0	0	1	1
FAOXC205C184x	0	0	1	1
FAOXC2251836m	0	0	1	1
FAOXC2252053m	0	0	1	1
FAOXC225C204m	0	0	1	1
FAOXC225C204x	0	0	1	1
FAOXC225C226m	0	0	1	1
FAOXC225C226x	0	0	1	1
FAOXC225m	0	0	1	1
FAOXC225x	0	0	1	1
FAOXC226C225m	0	0	1	1
FAOXC226C225x	0	0	1	1
FCLTm	0	1	1	0
FOAXC122C101x	0	0	1	1
FORt2m	0	1	1	1
FTHFL	0	1	1	1
FTHFLm	0	1	1	1
GALK	0	1	1	0
GALOR	0	1	1	1
GALSIDEtg	0	1	1	0
GALSIDEtl	0	1	1	0
GALtly	0	1	1	0
GALTt	0	1	1	1
GARFT	0	1	1	1
GGT6	0	0	1	0
GK1	0	0	1	0
GLUPRT	0	1	1	1
GLYC3Ptm	0	0	1	0
GLYOX	0	1	1	0
GLYOXm	0	1	1	0
GUAPRT	0	1	1	1
GUAt	0	0	1	0
H2O2tn	0	0	1	0
HC02149td	0	1	1	1
HEXDTRm	0	1	1	1
HEXDTRte	0	1	1	1
HEXDTRtm	0	1	1	1
HMBS	0	1	1	0
HMR_0350	0	1	1	1
HMR_0426	0	1	1	1
HMR_0427	0	1	1	1
HMR_0582	0	1	1	1
HMR_1104	0	0	1	0
HMR_1283	0	0	1	0
HMR_1318	0	0	1	0
HMR_1629	0	0	1	0
HMR_1630	0	0	1	0
HMR_1635	0	0	1	0
HMR_1637	0	0	1	0
HMR_1644	0	0	1	0
HMR_1651	0	0	1	0
HMR_1653	0	0	1	0
HMR_1665	0	1	1	0
HMR_1666	0	1	1	0
HMR_2472	0	1	1	1
HMR_2530	0	1	1	1
HMR_2533	0	1	1	1
HMR_2535	0	1	1	1
HMR_2537	0	1	1	1
HMR_2540	0	1	1	1
HMR_2541	0	1	1	1
HMR_2542	0	1	1	1
HMR_2543	0	1	1	1
HMR_2602	0	1	1	0
HMR_2603	0	1	1	0
HMR_2604	0	1	1	0
HMR_2633	0	1	1	0
HMR_2666	0	1	1	0
HMR_2733	0	1	1	1
HMR_2734	0	1	1	1
HMR_2735	0	1	1	1
HMR_2736	0	1	1	1
HMR_2737	0	1	1	1
HMR_2738	0	1	1	1
HMR_2821	0	1	1	0
HMR_2827	0	1	1	0
HMR_2857	0	1	1	1
HMR_2859	0	1	1	1
HMR_3070	0	0	1	0
HMR_3071	0	0	1	0
HMR_3072	0	0	1	0
HMR_3073	0	0	1	0
HMR_3422	0	0	1	1
HMR_3426	0	1	1	1
HMR_3431	0	1	1	1
HMR_3432	0	1	1	1
HMR_4079	0	1	1	1
HMR_4630	0	0	1	0
HMR_4664	0	0	1	0
HMR_5387	0	1	1	1
HMR_5389	0	1	1	1
HMR_5420	0	1	1	0
HMR_6545	0	1	1	0
HMR_6595	0	1	1	0
HMR_6617	0	0	1	1
HMR_6619	0	0	1	1
HMR_7758	0	0	1	0
HMR_7947	0	0	1	0
HMR_7949	0	0	1	1
HMR_8475	0	0	1	0
HMR_8505	0	1	1	0
HMR_8510	0	1	1	0
HMR_9634	0	0	1	1
HMR_9638	0	1	1	1
HOXG	0	1	1	0
HSD17B4x	0	0	1	0
HXPRT	0	1	1	1
HYXNt	0	0	1	0
IMPtr	0	0	1	0
KYNATEtr2	0	0	1	0
LALDO	0	0	1	0
LCADi	0	1	1	0
LCADi_D	0	1	1	0
LCADim	0	1	1	0
LDH_D	0	0	1	0
LEUKTRF4t	0	0	1	0
LTD4DP	0	0	1	0
MDRPD	0	1	1	1
MLTHFte	0	0	1	0
MMAte	0	0	1	1
MMSAD3m	0	1	1	1
MTAP	0	1	1	1
MTRI	0	1	1	1
N8ASPMDte	0	1	1	1
NAtx	0	1	1	1
NDP7g	0	1	1	0
NDPK3m	0	1	1	1
NICRNtr	0	1	1	1
O2St	0	0	1	0
O2Stm	0	0	1	0
O2Stn	0	0	1	0
O2Stx	0	0	1	0
O2tn	0	0	1	0
OCDEAFABP1tc	0	1	1	1
OROTGLUt	0	0	1	0
PAFABCt	0	1	1	0
PAIL_HStn	0	0	1	0
PCHOL_HSter	0	1	1	0
PETOHMr_hs	0	0	1	0
PGESr	0	0	1	1
PHEMEtm	0	1	1	0
PI45P4P	0	0	1	0
PIK5	0	1	1	0
PPBNGS	0	1	1	1
PPBNGte	0	1	1	1
PPPG9tm	0	1	1	0
PPPGOm	0	1	1	0
PRAGSr	0	1	1	1
PRASCS	0	1	1	1
PRFGS	0	1	1	1
PRGNLONEtr	0	0	1	0
PROSTGE2t2r	0	0	1	1
PSDm_hs	0	1	1	1
PSFLIPm	0	1	1	1
PSSA1_hs	0	1	1	1
PSSA2_hs	0	1	1	1
PUNP3	0	0	1	1
PUNP4	0	1	1	1
PUNP7	0	0	1	1
r0276	0	0	1	1
r0394	0	0	1	1
r0480	0	1	1	1
r0488	0	0	1	0
r0641	0	0	1	0
r0643	0	0	1	0
r0666	0	1	1	1
r0706	0	0	1	0
r0743	0	0	1	0
r0744	0	0	1	0
r0788	0	1	1	1
r0789	0	1	1	1
r0791	0	0	1	0
r0899	0	0	1	1
r0944	0	1	1	1
r1259	0	1	1	1
r1292	0	0	1	0
r1377	0	0	1	1
r1378	0	0	1	1
r1384	0	0	1	1
r1421	0	1	1	1
r1446	0	0	1	0
r1459	0	1	1	1
r2143	0	0	1	0
r2317	0	1	1	0
r2324	0	0	1	0
r2352	0	0	1	0
r2357	0	0	1	0
r2520	0	0	1	1
RDH2	0	0	1	1
RDH3	0	0	1	1
RE0456N	0	0	1	1
RE1100R	0	0	1	1
RE1135C	0	0	1	0
RE1135R	0	0	1	0
RE1233C	0	0	1	0
RE1235C	0	1	1	1
RE1447N	0	0	1	1
RE1448N	0	0	1	1
RE1804M	0	1	1	0
RE1834M	0	1	1	0
RE1834X	0	1	1	0
RE2112C	0	0	1	0
RE2624M	0	0	1	0
RE2624X	0	0	1	0
RE2666G	0	1	1	0
RE3010C	0	0	1	0
RE3010X	0	0	1	0
RE3106C	0	0	1	0
RE3110C	0	0	1	0
RE3112C	0	0	1	0
RE3113C	0	0	1	0
RE3114R	0	1	1	1
RE3245C	0	1	1	1
RE3247M	0	0	1	0
RE3247X	0	0	1	0
RE3430C	0	0	1	0
RE3430X	0	0	1	0
RE3432X	0	0	1	0
Rtotaltl	0	0	1	0
SCP22x	0	1	1	0
SCPx	0	0	1	0
SERPT	0	1	1	0
SFGTH	0	1	1	1
sink_chol[c]	0	0	1	0
sink_gchola[c]	0	0	1	0
sink_HC02191[c]	0	0	1	1
sink_lnlncacoa[c]	0	1	1	1
sink_nad[c]	0	1	1	1
sink_pmtcoa[c]	0	1	1	0
sink_thcholstoic[c]	0	0	1	0
SPHGNSte	0	0	1	0
SPHGNte	0	1	1	0
SPHINGStl	0	0	1	0
SPMS	0	1	1	1
SPODM	0	0	1	0
SPODMm	0	0	1	0
SPODMn	0	0	1	0
SPODMx	0	0	1	0
SPRMS	0	1	1	1
TAURt4_2_r	0	1	1	0
TAURtcx	0	1	1	1
THCHOLSTOICt	0	0	1	0
UDCHOLt	0	0	1	0
UDPG4E	0	1	1	1
UDPGALtg	0	1	1	0
UNK3r	0	1	1	1
UPP3S	0	1	1	0
UPPDC1	0	1	1	0
UREAtm	0	0	1	0
UTPtn	0	0	1	1
VALt5m	0	1	1	1
VALTA	0	1	1	1
VALTAm	0	1	1	1
XANtr	0	0	1	0
XMPtr	0	0	1	0
XTSNtr	0	0	1	0
2M3HVACc	0	1	0	1
2M3HVACte	0	1	0	1
2M3OVACm	0	1	0	1
2M3OVACtm	0	1	0	1
2M3OVCOAm	0	1	0	1
3HPPt	0	1	0	1
3HPPtm	0	1	0	1
4ABUTtm	0	1	0	1
ABTArm	0	1	0	1
ACACT5p	0	1	0	1
ACACT6p	0	1	0	1
ACACT7p	0	1	0	1
ACACtx	0	1	0	1
ACCOAL	0	1	0	1
ACITL	0	1	0	1
ACNAMtn	0	1	0	1
ACOAD1fm	0	1	0	0
ACP1_FMN_	0	1	0	1
ACS	0	1	0	1
ACS2	0	1	0	1
ACt2m	0	1	0	1
ACYP	0	1	0	1
ADNCYC	0	1	0	1
ADNK1	0	1	0	1
ADNK1m	0	1	0	1
ADNtl	0	1	0	1
ADSK	0	1	0	1
ADSL1	0	1	0	1
ADSS	0	1	0	1
AHC	0	1	0	1
AK2LGCHOLABCt	0	1	0	1
AK2LGCHOLt1	0	1	0	1
AMPDA	0	1	0	1
AMPTASECG	0	1	0	1
AMPTASECGe	0	1	0	0
APOC_LYS_BTNP	0	1	0	1
APOC_LYS_BTNPm	0	1	0	1
APOCF	0	1	0	1
APOCFm	0	1	0	1
ARACHCPT1	0	1	0	1
ARACHCPT2	0	1	0	1
ARACHDFATPtc	0	1	0	1
ASPt6	0	1	0	0
ATP1ter	0	1	0	1
ATP2ter	0	1	0	1
ATPH1e	0	1	0	1
ATPtg	0	1	0	1
BAAT4x	0	1	0	0
BACCL	0	1	0	1
BACCLm	0	1	0	1
BHMT	0	1	0	1
BIOCYTtn	0	1	0	1
biomass_maintenance	0	1	0	1
biomass_maintenance_noTrTr	0	1	0	1
BPNT2	0	1	0	1
BTND1n	0	1	0	1
BTNDm	0	1	0	1
BTNPL	0	1	0	1
BTNPLm	0	1	0	1
CAATPS	0	1	0	1
CBR2	0	1	0	1
CDIPTr	0	1	0	1
CDS	0	1	0	1
CE2176t	0	1	0	0
CE2510t	0	1	0	0
CE2512te	0	1	0	1
CE2537ABCt	0	1	0	1
CE2537ATP	0	1	0	1
CHLPCTD	0	1	0	1
CHOLt4	0	1	0	1
CHSTEROLt	0	1	0	1
CHSTEROLtg	0	1	0	1
CMPSAS	0	1	0	1
CRMte	0	1	0	1
CSm	0	1	0	1
CYTDtl	0	1	0	1
D_LACt2	0	1	0	0
DAGK_hs	0	1	0	1
DCATDc	0	1	0	1
DCSPTN1t	0	1	0	1
DGCHOLte	0	1	0	1
DGCHOLtx	0	1	0	0
DHCHOLESTANATEtm	0	1	0	1
DIGALSIDEtg	0	1	0	0
DIGALSIDEtl	0	1	0	0
DM_atp_c_	0	1	0	1
DM_pmtcoa[r]	0	1	0	0
DMGLYtr	0	1	0	1
DNDPt60m	0	1	0	0
DOCOSACTDe	0	1	0	1
DOCOSACTDr	0	1	0	1
DRIBt	0	1	0	0
DUMPtn	0	1	0	1
DURIPP	0	1	0	1
DUTPDPm	0	1	0	1
DUTPDPn	0	1	0	1
EIC21114TRc	0	1	0	0
EIC21114TRte	0	1	0	0
ELAIDt	0	1	0	1
ENO	0	1	0	1
EX_2m3hvac[e]	0	1	0	1
EX_3hpp[e]	0	1	0	1
EX_asp_L[e]	0	1	0	0
EX_CE2176[e]	0	1	0	0
EX_dgchol[e]	0	1	0	1
EX_dmgly[e]	0	1	0	1
EX_drib[e]	0	1	0	0
EX_eic21114tr[e]	0	1	0	0
EX_fru[e]	0	1	0	1
EX_glcn[e]	0	1	0	1
EX_glyc_S[e]	0	1	0	1
EX_glyclt[e]	0	1	0	1
EX_HC02203[e]	0	1	0	0
EX_HC02205[e]	0	1	0	0
EX_hxa[e]	0	1	0	1
EX_inost[e]	0	1	0	1
EX_lac_D[e]	0	1	0	0
EX_lac_L[e]	0	1	0	1
EX_leuktrB4wcooh[e]	0	1	0	0
EX_meoh[e]	0	1	0	1
EX_ppa[e]	0	1	0	1
EX_prostge2[e]	0	1	0	0
EX_prostgi2[e]	0	1	0	0
EX_pyr[e]	0	1	0	1
EX_succ[e]	0	1	0	1
EX_sucsal[e]	0	1	0	1
EX_tchola[e]	0	1	0	0
FACOAL140i	0	1	0	1
FACOAL150	0	1	0	1
FACOAL170	0	1	0	1
FACOAL180i	0	1	0	1
FACOAL181i	0	1	0	1
FACOAL1821	0	1	0	1
FACOAL1831	0	1	0	1
FACOAL204	0	1	0	1
FACOAL2251	0	1	0	1
FACOAL244_1	0	1	0	1
FACOAL245_1	0	1	0	1
FACOAL245_2	0	1	0	1
FAOXC10C10OHm	0	1	0	1
FAOXC12C12OHm	0	1	0	1
FAOXC200180m	0	1	0	1
FAOXC61C4m	0	1	0	0
FAOXC80	0	1	0	1
FATP2t	0	1	0	0
G3PD2m	0	1	0	1
G5SDym	0	1	0	0
GBA	0	1	0	1
GBA2e	0	1	0	1
GCALDDm	0	1	0	1
GCC2cm	0	1	0	1
GGNG	0	1	0	1
GLAl	0	1	0	0
GLBRAN	0	1	0	1
GLCNte	0	1	0	1
GLGNS1	0	1	0	1
GLNS	0	1	0	1
GLNtm	0	1	0	1
GLPASE1	0	1	0	1
GLPASE2	0	1	0	1
GLU5Km	0	1	0	0
GLUDC	0	1	0	1
GLUNm	0	1	0	1
GLYC_St	0	1	0	1
GLYCLTtd	0	1	0	1
GLYCLTtm	0	1	0	1
GND	0	1	0	0
GSNtl	0	1	0	1
GTHS	0	1	0	1
H2O2tp	0	1	0	0
H2Otg	0	1	0	1
HEX1	0	1	0	1
HMGCOASim	0	1	0	1
HMGLm	0	1	0	1
HMGLx	0	1	0	1
HMR_0188	0	1	0	1
HMR_0191	0	1	0	1
HMR_0192	0	1	0	1
HMR_0193	0	1	0	1
HMR_0194	0	1	0	1
HMR_0200	0	1	0	1
HMR_0203	0	1	0	1
HMR_0204	0	1	0	1
HMR_0206	0	1	0	1
HMR_0207	0	1	0	1
HMR_0208	0	1	0	1
HMR_0209	0	1	0	1
HMR_0210	0	1	0	1
HMR_0211	0	1	0	1
HMR_0214	0	1	0	1
HMR_0230	0	1	0	1
HMR_0232	0	1	0	1
HMR_0233	0	1	0	1
HMR_0235	0	1	0	1
HMR_0238	0	1	0	1
HMR_0239	0	1	0	1
HMR_0240	0	1	0	1
HMR_0241	0	1	0	1
HMR_0242	0	1	0	1
HMR_0243	0	1	0	1
HMR_0244	0	1	0	1
HMR_0245	0	1	0	1
HMR_0246	0	1	0	1
HMR_0247	0	1	0	1
HMR_0253	0	1	0	1
HMR_0254	0	1	0	1
HMR_0255	0	1	0	1
HMR_0256	0	1	0	1
HMR_0257	0	1	0	1
HMR_0259	0	1	0	1
HMR_0260	0	1	0	1
HMR_0267	0	1	0	1
HMR_0268	0	1	0	1
HMR_0270	0	1	0	1
HMR_0273	0	1	0	1
HMR_0277	0	1	0	0
HMR_0278	0	1	0	1
HMR_0279	0	1	0	1
HMR_0280	0	1	0	1
HMR_0281	0	1	0	1
HMR_0287	0	1	0	1
HMR_0288	0	1	0	1
HMR_0289	0	1	0	1
HMR_0290	0	1	0	1
HMR_0291	0	1	0	1
HMR_0293	0	1	0	1
HMR_0296	0	1	0	1
HMR_0297	0	1	0	1
HMR_0298	0	1	0	1
HMR_0299	0	1	0	1
HMR_0300	0	1	0	1
HMR_0301	0	1	0	1
HMR_0302	0	1	0	1
HMR_0303	0	1	0	1
HMR_0304	0	1	0	1
HMR_0305	0	1	0	1
HMR_0306	0	1	0	1
HMR_0307	0	1	0	1
HMR_0308	0	1	0	1
HMR_0309	0	1	0	1
HMR_0310	0	1	0	1
HMR_0311	0	1	0	1
HMR_0317	0	1	0	1
HMR_0321	0	1	0	1
HMR_0322	0	1	0	1
HMR_0323	0	1	0	1
HMR_0324	0	1	0	1
HMR_0325	0	1	0	1
HMR_0326	0	1	0	1
HMR_0327	0	1	0	1
HMR_0328	0	1	0	1
HMR_0329	0	1	0	1
HMR_0344	0	1	0	1
HMR_0345	0	1	0	1
HMR_0346	0	1	0	1
HMR_0347	0	1	0	1
HMR_0363	0	1	0	1
HMR_0370	0	1	0	1
HMR_0371	0	1	0	1
HMR_0380	0	1	0	1
HMR_0381	0	1	0	1
HMR_0382	0	1	0	1
HMR_0383	0	1	0	1
HMR_0384	0	1	0	1
HMR_0385	0	1	0	1
HMR_0386	0	1	0	1
HMR_0387	0	1	0	1
HMR_0388	0	1	0	1
HMR_0389	0	1	0	1
HMR_0390	0	1	0	1
HMR_0391	0	1	0	1
HMR_0392	0	1	0	1
HMR_0393	0	1	0	1
HMR_0394	0	1	0	1
HMR_0395	0	1	0	1
HMR_0398	0	1	0	1
HMR_0402	0	1	0	1
HMR_0406	0	1	0	1
HMR_0415	0	1	0	1
HMR_0418	0	1	0	1
HMR_0419	0	1	0	1
HMR_0422	0	1	0	1
HMR_0423	0	1	0	1
HMR_0428	0	1	0	1
HMR_0429	0	1	0	1
HMR_0430	0	1	0	1
HMR_0431	0	1	0	1
HMR_0432	0	1	0	1
HMR_0433	0	1	0	1
HMR_0434	0	1	0	1
HMR_0435	0	1	0	1
HMR_0436	0	1	0	1
HMR_0437	0	1	0	1
HMR_0438	0	1	0	1
HMR_0439	0	1	0	1
HMR_0597	0	1	0	1
HMR_0598	0	1	0	1
HMR_0614	0	1	0	1
HMR_0625	0	1	0	1
HMR_0629	0	1	0	1
HMR_0642	0	1	0	1
HMR_0761	0	1	0	1
HMR_0770	0	1	0	1
HMR_0837	0	1	0	0
HMR_0844	0	1	0	1
HMR_1126	0	1	0	0
HMR_1465	0	1	0	0
HMR_1467	0	1	0	0
HMR_1470	0	1	0	0
HMR_1473	0	1	0	0
HMR_1916	0	1	0	1
HMR_2259	0	1	0	1
HMR_2260	0	1	0	1
HMR_2261	0	1	0	1
HMR_2262	0	1	0	1
HMR_2263	0	1	0	1
HMR_2264	0	1	0	1
HMR_2265	0	1	0	1
HMR_2266	0	1	0	1
HMR_2342	0	1	0	1
HMR_2343	0	1	0	1
HMR_2344	0	1	0	1
HMR_2345	0	1	0	1
HMR_2433	0	1	0	0
HMR_2434	0	1	0	0
HMR_2435	0	1	0	0
HMR_2436	0	1	0	0
HMR_2620	0	1	0	0
HMR_2621	0	1	0	0
HMR_2622	0	1	0	0
HMR_2635	0	1	0	0
HMR_2660	0	1	0	1
HMR_2661	0	1	0	1
HMR_2662	0	1	0	1
HMR_2675	0	1	0	1
HMR_2676	0	1	0	1
HMR_2677	0	1	0	1
HMR_2681	0	1	0	1
HMR_2682	0	1	0	1
HMR_2683	0	1	0	1
HMR_2699	0	1	0	1
HMR_2700	0	1	0	1
HMR_2701	0	1	0	1
HMR_2702	0	1	0	1
HMR_2768	0	1	0	0
HMR_2769	0	1	0	0
HMR_2770	0	1	0	0
HMR_2771	0	1	0	0
HMR_2772	0	1	0	0
HMR_2773	0	1	0	0
HMR_2851	0	1	0	1
HMR_2852	0	1	0	1
HMR_2942	0	1	0	1
HMR_2943	0	1	0	1
HMR_2944	0	1	0	1
HMR_2945	0	1	0	1
HMR_2946	0	1	0	1
HMR_2947	0	1	0	1
HMR_2948	0	1	0	1
HMR_2951	0	1	0	1
HMR_2954	0	1	0	1
HMR_2955	0	1	0	1
HMR_2956	0	1	0	1
HMR_2957	0	1	0	1
HMR_2961	0	1	0	1
HMR_2962	0	1	0	1
HMR_2963	0	1	0	1
HMR_2964	0	1	0	1
HMR_2965	0	1	0	1
HMR_2966	0	1	0	1
HMR_2967	0	1	0	1
HMR_2968	0	1	0	1
HMR_2969	0	1	0	1
HMR_2970	0	1	0	1
HMR_2971	0	1	0	1
HMR_2972	0	1	0	1
HMR_2973	0	1	0	1
