subSystem	disrupted_module	rxnList	MetabolicUnits	rxnFormula	rxnName	rxnECNumbers
Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE16ly	NA	2 h2o[l] + ksii_core2_deg2[l]  -> 2 gal[l] + ksii_core2_deg3[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE17ly	NA	h2o[l] + ksii_core2_deg5[l]  -> gal[l] + ksii_core2_deg6[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE18ly	NA	h2o[l] + ksii_core2_deg8[l]  -> gal[l] + ksii_core2_deg9[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE19ly	NA	h2o[l] + f1a[l]  -> gal[l] + core6[l] 	Beta-Galactosidase, Lysosomal	3.2.1.18
Keratan sulfate degradation	FVA_BD_NR_norm_t1	GALASE20ly	NA	2 h2o[l] + ksii_core4_deg2[l]  -> 2 gal[l] + ksii_core4_deg3[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	FVA_BD_NR_norm_t1	NACHEX23ly	NA	h2o[l] + ksii_core2_deg4[l]  -> acgam[l] + ksii_core2_deg5[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	FVA_BD_NR_norm_t1	NACHEX24ly	NA	h2o[l] + ksii_core2_deg7[l]  -> acgam[l] + ksii_core2_deg8[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	FVA_BD_NR_norm_t1	NACHEX25ly	NA	h2o[l] + ksii_core2_deg9[l]  -> acgam[l] + f1a[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	FVA_BD_NR_norm_t1	NACHEX26ly	chondroitin sulphate degradation, lysosome	2 h2o[l] + ksii_core4_deg4[l]  -> 2 acgam[l] + ksii_core2_deg5[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	FVA_BD_NR_norm_t1	NAGA2ly	NA	h[l] + udp[l] + Tn_antigen[l]  -> Ser_Thr[l] + udpacgal[l] 	N-Acetylgalactosaminidase, Alpha-	3.2.1.49
Keratan sulfate degradation	FVA_BD_NR_norm_t1	NAGLCAly	NA	h2o[l] + core6[l]  -> acgam[l] + Tn_antigen[l] 	N-Acetylglucosaminidase, Lysosomal	
Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE22ly	NA	h2o[l] + ksii_core2_deg1[l]  <=> h[l] + so4[l] + ksii_core2_deg2[l] 	Galactose-6-Sulfate Sulfatase, Lysosomal	3.1.6.4
Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE23ly	NA	h2o[l] + ksii_core2_deg3[l]  <=> h[l] + so4[l] + ksii_core2_deg4[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE24ly	NA	h2o[l] + ksii_core2_deg6[l]  <=> h[l] + so4[l] + ksii_core2_deg7[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE25ly	chondroitin degradation, lysosome	h2o[l] + ksii_core4_deg1[l]  <=> h[l] + so4[l] + ksii_core4_deg2[l] 	Galactose-6-Sulfate Sulfatase, Lysosomal	3.1.6.4
Keratan sulfate degradation	FVA_BD_NR_norm_t1	S6TASE26ly	chondroitin degradation, lysosome	h2o[l] + ksii_core4_deg3[l]  <=> h[l] + so4[l] + ksii_core4_deg4[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	FVA_BD_NR_norm_t1	SIAASE3ly	NA	h2o[l] + ksii_core2[l]  -> acnam[l] + ksii_core2_deg1[l] 	Sialidase, Lysosomal	3.2.1.18
Keratan sulfate degradation	FVA_BD_NR_norm_t1	SIAASE4ly	chondroitin degradation, lysosome	h2o[l] + ksii_core4[l]  -> acnam[l] + ksii_core4_deg1[l] 	Sialidase, Lysosomal	3.2.1.18
Keratan sulfate degradation	MTA_BD_NR_abs	GALASE7ly	NA	h2o[l] + ksi_deg17[l]  -> gal[l] + ksi_deg18[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX13ly	NA	h2o[l] + ksi_deg16[l]  -> acgam[l] + ksi_deg17[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE15ly	NA	h2o[l] + ksi_deg18[l]  <=> h[l] + so4[l] + ksi_deg19[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	MTA_BD_NR_abs	GALASE17ly	NA	h2o[l] + ksii_core2_deg5[l]  -> gal[l] + ksii_core2_deg6[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	MTA_BD_NR_abs	GALASE18ly	NA	h2o[l] + ksii_core2_deg8[l]  -> gal[l] + ksii_core2_deg9[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX24ly	NA	h2o[l] + ksii_core2_deg7[l]  -> acgam[l] + ksii_core2_deg8[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX25ly	NA	h2o[l] + ksii_core2_deg9[l]  -> acgam[l] + f1a[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	MTA_BD_NR_abs	NAGA2ly	NA	h[l] + udp[l] + Tn_antigen[l]  -> Ser_Thr[l] + udpacgal[l] 	N-Acetylgalactosaminidase, Alpha-	3.2.1.49
Keratan sulfate degradation	MTA_BD_NR_abs	GALASE12ly	NA	h2o[l] + ksi_deg32[l]  -> gal[l] + ksi_deg33[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX18ly	NA	h2o[l] + ksi_deg31[l]  -> acgam[l] + ksi_deg32[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE19ly	NA	h2o[l] + ksi_deg30[l]  <=> h[l] + so4[l] + ksi_deg31[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX26ly	chondroitin sulphate degradation, lysosome	2 h2o[l] + ksii_core4_deg4[l]  -> 2 acgam[l] + ksii_core2_deg5[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE26ly	chondroitin degradation, lysosome	h2o[l] + ksii_core4_deg3[l]  <=> h[l] + so4[l] + ksii_core4_deg4[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	MTA_BD_NR_abs	SIAASE4ly	chondroitin degradation, lysosome	h2o[l] + ksii_core4[l]  -> acnam[l] + ksii_core4_deg1[l] 	Sialidase, Lysosomal	3.2.1.18
Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE20ly	NA	h2o[l] + ksi_deg33[l]  <=> h[l] + so4[l] + ksi_deg34[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	MTA_BD_NR_abs	GALASE10ly	NA	h2o[l] + ksi_deg26[l]  -> gal[l] + ksi_deg27[l] 	Beta-Galactosidase, Lysosomal	3.2.1.23
Keratan sulfate degradation	MTA_BD_NR_abs	NACHEX16ly	NA	h2o[l] + ksi_deg25[l]  -> acgam[l] + ksi_deg26[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	MTA_BD_NR_abs	S6TASE18ly	NA	h2o[l] + ksi_deg27[l]  <=> h[l] + so4[l] + ksi_deg28[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	MTA_BD_NR_norm_t2	NACHEX21ly	NA	h2o[l] + ksi_deg39[l]  -> acgam[l] + ksi_deg40[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	MTA_BD_NR_norm_t2	S6TASE21ly	NA	h2o[l] + ksi_deg36[l]  <=> h[l] + so4[l] + ksi_deg37[l] 	N-Acetylglucosamine-6-Sulfatase, Lysosomal	3.1.6.14
Keratan sulfate degradation	MTA_BD_NR_norm_t2	ENGASE3ly	NA	h2o[l] + ksi_deg2[l]  -> acgam[l] + ksi_deg3[l] 	Endo-Beta-N-Acetylglucosaminidase, Lysosomal	3.2.1.96
Keratan sulfate degradation	MTA_BD_NR_norm_t2	GASNASE3ly	NA	h2o[l] + ksi_deg1[l]  -> Asn_X_Ser_Thr[l] + ksi_deg2[l] 	Glycosylasparaginase, Lysosomal	3.5.1.26
Keratan sulfate degradation	MTA_BD_NR_norm_t2	SIAASE2ly	NA	h2o[l] + ksi_deg3[l]  -> acnam[l] + ksi_deg4[l] 	Sialidase, Lysosomal	3.2.1.18
Keratan sulfate degradation	MTA_BD_NR_norm_t2	NACHEX22ly	NA	h2o[l] + ksi_deg41[l]  -> m2mn[l] + acgam[l] 	Beta-N-Acetylhexosaminidase, Lysosomal	3.2.1.52
Keratan sulfate degradation	MTA_BD_NR_norm_t2	GALASE19ly	NA	h2o[l] + f1a[l]  -> gal[l] + core6[l] 	Beta-Galactosidase, Lysosomal	3.2.1.18
Keratan sulfate degradation	MTA_BD_NR_norm_t2	NAGLCAly	NA	h2o[l] + core6[l]  -> acgam[l] + Tn_antigen[l] 	N-Acetylglucosaminidase, Lysosomal	
